slideshow,position,title,body
Lesson #5: Roadblocks to Doing Positive Activities,5,Wrapping Up,"Summary: Depression and unhelpful thoughts can get in the way of doing positive activities. Fortunately, by identifying unhelpful thoughts that prevent you from doing activities you can learn how to then change these thoughts to help increase the number of positive activities that you do.  

Moving forward: As you move on to the next lesson we’ll continue to talk about the role that thoughts play in your mood and your life. During the next few days, keep scheduling one new positive activity each day, pay particularly close attention to any unhelpful thoughts that might arise when you are scheduling these events. If you notice an unhelpful thought, put it into your Thought Tracker."
Summary #5: Roadblocks to doing positive activities,1,,"Positive activities can improve our mood, but that doesn’t mean its easy to get started on them.  Common roadblocks include not enough time or energy.  Try breaking those activities into smaller parts so they won’t be as overwhelming to start.  Additionally, when people are down, their thoughts can take a turn for the negative.  Some of these thoughts get in the way of your doing positive activities because they undermine your motivation, your confidence, your motivation, or all kinds of other things. Identify those thoughts and try to challenge them!"
Lesson #6: Patterns of Unhelpful Thoughts,1,,"What we think affects how we feel. To better understand this relationship, it’s helpful to think about specific categories or patterns of negative automatic thoughts. These patterns represent common thinking traps we fall into that lead to inaccurate, unbalanced, and unhelpful thoughts.

In this lesson, you’ll learn:
-   The types of dysfunctional thinking patterns that occur and how to recognize them in yourself.
-    Skills that are specific to changing each type of dysfunctional thought pattern."
Lesson #6: Patterns of Unhelpful Thoughts,2,,"The ""Cognitive-Behavioral"" approach to managing stress and mood involves understanding and changing your thinking patterns that contribute to how you feel. We will focus on helping you develop specific thinking skills to identify and challenge these negative thinking patterns so your mood is under your control.

Twelve kinds of Patterns of Unhelpful Thoughts
As you begin identifying your Unhelpful Thoughts, you may notice that:
-    You have specific patterns of thinking
-    Certain patterns of thinking arise in specific types of situations
-    You have a particular manner or style of interpreting stressful situations

When we feel upset, we see everything in a somewhat distorted way. This falsely represents the way things actually are. There may be elements of truth to our thinking, but these inaccurate thoughts may set off patterns of thinking that are often distorted too. The next page will let you explore the different kinds of Thought Distortions that may be contributing to your unhelpful thoughts..."
Lesson #6: Patterns of Unhelpful Thoughts,3,Thought Distortions,"All-or-Nothing (Black-or-White) Thinking
You think in black and white terms; there are no gray areas. This type of thinking is unrealistic because things are seldom all or nothing, good or bad.

Overgeneralization
You assume that a one-time or situation-specific negative occurrence will happen again and again, or in every context. Often words like “all,” “always” or “never” are signs that you may be overgeneralizing.

Mental Filter
You focus exclusively on negative details and ignore anything positive. Because you are filtering out the positives, you see the entire situation as negative.

Discounting the Positive
You turn positives into negatives by insisting they “don’t count.” This allows you to maintain your negative outlook despite positive experiences."
Lesson #6: Patterns of Unhelpful Thoughts,4,Thought Distortions,"Fortune Telling
You act as a fortune teller who only predicts the worst for you. You then treat your unrealistic prediction as if it were a proven fact.

Magnification or Catastrophizing
You magnify negative things, blowing their importance out of proportion. You convince yourself that the future looks hopeless and bad outcomes are sure to happen.

Minimization
You minimize positive things, shrinking down their significance. You make good experiences out to be smaller than they are.

Emotional Reasoning
You take your emotions as proof of the way things really are. You assume something is true because you feel it is, rather than by examining the evidence."
Lesson #6: Patterns of Unhelpful Thoughts,5,Thought Distortions,"“Should” Statements
You build your expectations with “shoulds,” “musts,” and “oughts.” When you don’t follow through, you feel guilty. When others disappoint you, you feel angry and resentful.

Labeling and mislabeling
You label yourself or someone else, rather than just identifying the behavior, or you mislabel an event by using inaccurate and emotionally extreme language.

Personalization
You take responsibility for thing that you don’t have control over."
Lesson #6: Patterns of Unhelpful Thoughts,6,How can identifying Thought Patterns be useful?,"When people are stressed, they often settle into a ""groove"" of thinking in certain unhelpful ways--these Thought Distortions are those grooves that people fall into.  Identifying and understanding the patterns you fall into helps you get out of that groove. Figuring out which Thought Distortions you frequently use can also be very beneficial when coming up with alternatives to the kinds of Unhelpful Thoughts you may be experiencing.

"
Lesson #6: Patterns of Unhelpful Thoughts,7,Wrapping Up,"Summary: Negative thoughts can often be grouped into categories or patterns. Learning what thinking traps you typically fall into can help you avoid these traps in the future. By avoiding unrealistic, unbalanced, and unhelpful ways of thinking, you can gain more control over your mood, your actions, and your life.  

Moving forward: Before you move on to the next lesson, please start using the Thought Tracker to identify the Thoughts distortions for your unhelpful thoughts. Start out by using the Thought Tracker to identify the thought distortions for thoughts you have already added.  In the future, when you enter a new thought, you can add a Thought Distortion tag. These Thought Distortions are one more piece in the process of helping you to understand the relationship between what you're doing, how you're feeling, and what you're thinking.  Try to identify 3 thought distortions over the next few days. In the next lesson, we'll use these Thought Distortions to help you challenge your unhelpful thinking."
Summary #6: Patterns of Unhelpful Thoughts,1,,"As you begin identifying unhelpful thoughts, you may notice that you have specific patterns of thinking, that certain patterns arise in specific types of situations, and that you may have a particular style in which you interpret stressful situations.

Thought Distortions: Sometimes when we are upset, we tend to see situations in a somewhat distorted way that falsely represents reality. There may be elements of truth to our understanding, but when feelings and thoughts get extreme our thinking patterns often become distorted too.

When people are stressed, they often settle into a ""groove"" of thinking in certain unhelpful ways. Identifying and understanding the patterns you fall into when stressed helps get you out of that groove.  Figuring out which Thought Distortions you frequently use can also be very beneficial when coming up with alternatives to the kinds of negative unhelpful thoughts you may be experiencing."
Lesson #7: Alternative Thoughts,1,,"Thoughts are not facts. When we’re feeling depressed, many of our thoughts become more negative. These include more inaccurate, unrealistic, and unbalanced thoughts about our self, our world, and our future. Because these thoughts are not facts however, we can learn to think about ourselves, situations, the world, and the future, in more helpful ways.

In this lesson you’ll learn:

-    How changing your thinking can help improve your mood
-    How to evaluate your unhelpful thoughts and replace them with more helpful thoughts
-    How to use evidence to create alternative thoughts
-    A framework for examining and changing your thinking"
Lesson #7: Alternative Thoughts,2,,"Our view of the world is affected by how we feel.  Please keep in mind that when we are down or stressed, we see the world through different lenses. This means we interpret things that happen to us in negative ways - our thinking is distorted by our emotions.  For example, if a cashier in a store is not friendly and avoids looking at you, you might think ""I look unattractive,"" or ""I did something wrong,"" or ""she can tell I'm weird.""  You'd probably leave the store feeling pretty bad if you were having thoughts like that.

Changing Thoughts—Changing Emotions

ThinkFeelDo: Our thoughts, feelings, and behaviors all affect each other.

In the previous lessons, we saw how changing behaviors can make us feel better. Similarly, changing our thoughts can make us feel better as well. When you start to pay more attention to your thoughts, you might notice that you have lots of negative automatic thoughts right before your mood changes. When you begin to recognize and change these unhelpful thoughts, you will start to feel better."
Lesson #7: Alternative Thoughts,3,What if my negative thoughts are accurate?,"There are times when our unhelpful thoughts have some basis in fact.  But even when something is based on evidence, we may be inaccurate in thinking about the implications or most likely outcomes. In this way, our emotional lenses can make us think in a way that is exaggerated or one-sided.  It's hard to think clearly when you're stressed and not feeling like your normal self.

"
Lesson #7: Alternative Thoughts,4,,"Let's look at our last example and take it a bit further.  For instance, so what if the store clerk doesn’t like you?

Does everyone in the world have to like you?

Does the opinion of a store clerk really mean anything about you?

Once you leave the store, how will that clerk ever affect your life again if you don’t think about it anymore?

It is possible that the unhelpful thought could have been partially accurate.  But so what?  Does it matter that much?  Is feeling bad about this helpful? 

There are ways to deal with these sorts of feelings and thoughts as well."
Lesson #7: Alternative Thoughts,5,,"Think about an unpleasant situation that you may have experienced that may have made you feel negative feelings and thoughts.

Step One:  Evaluate your thinking

After you have identified the thought you had in the unpleasant situation, the next step is to examine it more closely.  Look for evidence that either supports or does not support what you are thinking. For example, if you feel that you never do anything right, could you name some things that you have done successfully?

Step Two:  Challenge your unhelpful thoughts
You may discover that some of your thoughts don't make a lot of sense and that they are clearly unhelpful in how they make you feel. And, as you now know there are many other (and better) ways to try to understand situations. Consider alternate ways of thinking about what happened. Then fill in the explanation that you think is most likely to be accurate. Don't worry if you feel a little bit uncertain of this. You have been living with your unhelpful thoughts for a long time. There will be opportunities later in the program to practice and improve these skills. Right now, the most important thing is to start examining your unhelpful thoughts and begin to come up with positive alternative thoughts."
Lesson #7: Alternative Thoughts,6,,"Try asking yourself some of these questions and then spend a little time considering your answers. You can learn some useful things about your automatic thoughts and what you could replace them with this way.
-Is there an alternative explanation?
-Have I had any experiences that show this thought is not completely true all the time?
-How does this unhelpful thought not fit in with how I wish I could see myself?
-Is there an exception to the rule I have created in my distorted patterns?
-What value is there in holding on to this rule?
-Is it possible I'm blowing this out of proportion? What is a more reasonable way to look at this?
-Have I oversimplified the issue? What is a less emotional description of the problem?
-What is my role in this situation? Have I assigned all the blame to others?
-What is the effect of believing my automatic thought?
-What could be the effect of changing my automatic thought?
-If my best friend was in the situation and had this thought what would I tell him/her?"
Lesson #7: Alternative Thoughts,7,Wrapping Up,"Summary: Just because you have a negative thought doesn’t mean you have to listen to it.  Learning to challenge and change your thinking can help you have more control over what you feel and how you react.

Moving forward: Before you move on to the next lesson, use the Thought Tracker to generate alternative thoughts. Start out by using the Thought Tracker to come up with alternatives for thoughts distortions you have already added.  In the future, when you notice a negative automatic thought, try to come up with an alternative thought in the moment and add this thought and alternative to your Thought Tracker. This might be hard at first, but the more you practice the easier it will become and the better you will feel. Try to create 3 alternative thoughts over the next few days."
Summary #7: Alternative Thoughts,1,,"The next step is to learn to evaluate your unhelpful thoughts and replace them with alternative thoughts that are more positive or that have a more accurate and balanced perception of the situation.

Step One:  Evaluate your thinking
Look for evidence that either supports or does not support what you are thinking. Consider how this thought fits in with your perceptions of yourself or your future life.

Step Two:  Challenge your unhelpful thoughts
You may discover that some of your thoughts are clearly unhelpful and that there are many other (and better) ways to try to understand situations. Consider alternate ways of thinking about what happened. Then fill in the explanation that you think is most likely to be accurate."
Lesson #8: Disrupting Patterns of Unhelpful Thinking,1,,"Once you have identified unhelpful thoughts, it is easier to deal with them. You can take a really good look at them and decide whether they are properly realistic, accurate, and balanced or overly harmful. Identifying the pattern of unhelpful thoughts can be particularly useful as your strategy for coming up with an alternative thought might differ based on the specific pattern of thinking that thought relates to.

In this lesson, you’ll learn:
-    Helpful responses to common patterns of unhelpful thinking
-    Tips to continue to replace unhelpful thoughts with more helpful thoughts"
Lesson #8: Disrupting Patterns of Unhelpful Thinking,2,,"We’ve already talked about how changing your thoughts and thinking patterns can help you manage stress and your mood. In this lesson, we’ll return to the different patterns of negative thinking and talk about specific questions that can be useful to create more helpful thoughts when you encounter each pattern.

Remember the twelve kinds of patterns of unhelpful thoughts? Certain patterns of thinking may arise in specific types of situations or you may have a particular manner or style of interpreting stressful situations. Identifying these patterns can be useful as it helps you to get out of that groove of unhelpful thinking and into a groove of thinking more realistically to help manage your mood and your life."
Lesson #8: Disrupting Patterns of Unhelpful Thinking,3,Questions to help you challenge negative thinking,"After you identify a pattern, the next step is to challenge the negative thinking that contributes to your depression. Then we'll practice using them with the Thought Record Tool.  Let's look at specific questions to ask yourself when you're experiencing a certain Thought Distortion...

All-or-Nothing (Black-or-White) Thinking
You think in black and white terms; there are no gray areas. This type of thinking is unrealistic because things are seldom all or nothing, good or bad.
Questions:
-    Are there “shades of grey” that you are overlooking?
-    Are there exceptions to your all or nothing thinking? Look for them.
-    What if you looked at the issue along a continuum rather than in simple categories?

Overgeneralization
You assume that a one-time or situation-specific negative occurrence will happen again and again, or in every context. Often words like “all,” “always” or “never” are signs that you may be overgeneralizing.
Questions:
-    Are you condemning yourself based on a single event?
-    What if you focused on describing rather than judging? Rather than overgeneralizing- “I’ll never amount to anything” try describing instead- “I feel nervous about this project I'm doing at work”
-    What would you think if you kept track of positive occurrences that don’t fit with your overgeneralization?

Mental Filter
You focus exclusively on negative details and ignore anything positive. Because you are filtering out the positives, you see the entire situation as negative.
Questions:
-    How would you feel if you acknowledged the positive information?
-    How might other people see this issue? Would they pick up on positive things that had happened?
-    What would be the consequence if everyone didn’t notice positive events and only saw things as negative?

Discounting the Positive
You turn positives into negatives by insisting they “don’t count.” This allows you to maintain your negative outlook despite positive experiences.
Questions:
-    Are you focusing on the negative side of things exclusively?
-    Would you discount the positive characteristics of someone you cared about? If not, then how come you would not count them for yourself?
-    Are you overlooking your strengths and accomplishments?

Mind Reading
You assume that you know what someone else is thinking. You are so convinced that the person is having a negative reaction to you, you don’t even take the time to confirm your guess.
Questions:
-    Can you really know for sure what someone is thinking?
-    Is it possible the other person is not thinking exactly what you expect? Can you come up with alternative explanations for what they could be thinking?
-    How could you find out if your mind reading is true or not?

Fortune Telling
You act as a fortune teller who only predicts the worst for you. You then treat your unrealistic prediction as if it were a proven fact.
Questions:
-    What is the worst possible outcome? Could you cope with that?
-    What would it be like to find out how it really is rather than just imagine it?
-    Can you really predict the future? Is your prediction making it more likely that things will turn out that way?"
Lesson #8: Disrupting Patterns of Unhelpful Thinking,4,,"Magnification or Catastrophizing
You magnify negative things, blowing their importance out of proportion. You convince yourself that the future looks hopeless and bad outcomes are sure to happen.
Questions:
-    Is it possible the problem is not really “terrible” “awful” or “horrible”?
-    Are you telling yourself that you cannot possibly cope with this issue? If so, is it possible for you to identify or learn coping skills to deal with the challenge?
-    Even if one possible outcome is catastrophic, is such a bad end likely to actually be the result? If it didn't end up being quite as bad, would it be as distressing?

Minimization
You minimize positive things, shrinking down their significance. You make good experiences out to be smaller than they are.
Questions:
-    Is it possible the positive thing is true? What would happen if you accepted a positive statement?
-    What are the advantages/disadvantages of continuing to minimize positive things? What would happen if everyone minimized?
-    What if a friend minimized positive things that you said to him or her?

Emotional Reasoning
You take your emotions as proof of the way things really are. You assume something is true because you feel it is, rather than by examining the evidence.
Questions:
-    Is this a helpful basis for making conclusions about yourself, others, or your future?
-    Would the issue seem different to you if you were in a different mood? What does that tell you about how helpful it is to make conclusions based on how you feel?
-    Just because you feel something, that doesn’t make it a fact. What evidence do you have that supports or discounts this?

“Should” Statements
You build your expectations with “shoulds,” “musts,” and “oughts.” When you don’t follow through, you feel guilty. When others disappoint you, you feel angry and resentful.
Questions:
-    Are you setting realistic standards for yourself or others? Instead of focusing on regret about the difference between the way things are or were and the way you want them to be, how would it be to concentrate on getting the most out of the real situation?
-    Are you getting upset about the way you would like things to be (or have been), rather than as they are?
-    How would you feel if you told yourself “I would prefer…” rather than “I should…”

Labeling and mislabeling
You label yourself or someone else, rather than just identifying the behavior, or you mislabel an event by using inaccurate and emotionally extreme language.
Questions:
-    How would you feel if you described the issue rather than applying a rigid label to it?
-    Can you or others really be reduced to simple labels? Isn’t this oversimplifying things?
-    How would you feel if you identified a number of characteristics about yourself or others that do not fit with the label?

Personalization
You take responsibility for things that you don’t have control over.
Questions:
•    Are you taking personally something that has little or nothing to do with you? Is there another possible explanation?
•    Is it possible that someone else may be at least partially responsible for the issue, too?
•    Rather than personalizing blame, what would happen if instead you asked yourself “What problem needs to be solved here?” and took some action? Is it possible to take responsibility for a problem without playing the blame game?"
Lesson #8: Disrupting Patterns of Unhelpful Thinking,5,Wrapping Up,"Summary: When you notice a pattern of unhelpful thinking this is a perfect opportunity to practice the skill of coming up with an alternative thought. We know this can be tough, but fortunately, identifying the pattern can make this easier because specific questions might be more helpful for each pattern. Avoiding these thinking traps in the future can help you gain more control over your mood, your actions, and your life.  

Moving forward: Before you move on to the next lesson, please start using the Thought Tracker to identify the patterns of unhelpful thinking for thoughts and generate alternative thoughts. To continue forward, make sure to identify 3 thought distortions and generate an alternative thought for each over the next few days.
"
Summary #8: Disrupting Patterns of Unhelpful Thoughts,1,,"Identifying your thoughts is the important first step to changing them.  There are common patterns that emerge from unhelpful thoughts.  If you can label what pattern your thoughts fit, some specific questions you can ask yourself can help you develop new, more balanced ways of responding to the situation.  Check out the lesson “Disrupting Patterns of Unhelpful Thinking” for examples of the questions.  Practice using the Thought Tracker to develop new approaches to your problem."
Lesson #9: Avoidance,1,,"People often use behaviors to avoid and escape from difficult situations and feelings. Many times, they do not realize that they are avoiding something, or they do not know what they are trying to avoid. These behaviors relieve uncomfortable feelings in the short-term, but in the long-term they do not help. In fact, they often create more problems and painful emotions!

In this lesson, you’ll learn:
-    Common triggers for avoidance
-    How to identify your responses to triggers
-    How to recognize different kinds of avoidance patterns"
Lesson #9: Avoidance,2,Triggers,"Sometimes negative emotions seem to come ""out of the blue."" There are many different kinds of triggers for these emotions, and people are often unfamiliar with them. Here are some types of triggers that may be important for you.

Historical Triggers: Days or seasons of the year that remind you of losses in the past. These can be anniversaries of a divorce, the death or illness of a loved one, or other difficult memories.

External Triggers: These include situations such as times of day, certain tasks or activities, or social interactions where you notice that your mood is worse. You may have been able to use the Activity Tracker to notice some of these triggers.

Internal Triggers: Thoughts and physical sensations that upset you. For example, someone may notice their mood drop when they worry or experience physical pain."
Lesson #9: Avoidance,3,Responses to Triggers,"Responses are the emotions people feel when they face one of their triggers. Because certain emotions feel uncomfortable, people often let them guide their behavior. So in order to avoid unpleasant emotional responses, people often avoid their triggers.

People can still behave in adaptive ways, even when they are experiencing negative emotions. By recognizing triggers, people can stop letting temporary emotions dictate their behavior.
"
Lesson #9: Avoidance,4,Understanding Emotional Responses,"When people experience an unpleasant emotional response, it can be hard to figure out exactly which emotions are involved. Learning to identify different emotional states helps to understand why the trigger is upsetting you. The following 3 emotional states can happen on their own, or in combination. Let's start with some ways you can recognize anger.

Anger

Common Physical Signs of Anger:
•    Clenching your fists or jaw
•    Faster breathing or heart rate
•    Muscle tension

Common External Triggers of Anger:
•    Others do not do what you want
•    Physical or emotional pain
•    Situations that do not go the way you want them to

Common Internal triggers of Anger:
•    Thinking you have lost someone else's respect
•    Believing that a situation is unfair, or that someone intentionally upset you
•    Remembering events that made you angry in the past

Sadness

Common Physical Signs of Sadness:
•    Feeling tired or sluggish
•    Crying, wishing you could cry, or holding back tears
•    Difficulty swallowing
•    Pain or empty feelings in your chest or abdomen

Common Historical triggers of Sadness:
•    Anniversaries of the death of loved ones

Common External triggers of Sadness:
•    Not getting what you want or believe you need
•    Situations that do not go the way you want
•    Separation from someone you love
•    Seeing another person in pain

Common Internal triggers of Sadness:
•    Hopeless thinking
•    Thinking you are not valuable
•    Believing that another person has rejected you"
Lesson #9: Avoidance,5,Understanding Emotional Responses,"Fear and Anxiety

Common Physical Signs of Fear and Anxiety:
•    Sweating
•    Trembling
•    Feeling a lump in your throat or heaviness in your stomach
•    Faster breathing or heart rate
•    Muscle tension

Common External triggers of Fear and Anxiety:
•    New situations and people
•    Situations that remind you of a time in the past when you were afraid
•    Anticipating a situation where you are not sure you will succeed

Common Internal triggers of Fear and Anxiety:

•    Worrying about what others are thinking about you
•    Thinking that you are helpless or cannot cope
•    Believing that you may be harmed or lose something important to you"
Lesson #9: Avoidance,6,Avoidance Patterns,"Now that you have learned more about triggers and emotional responses, you are ready to start thinking about your behaviors when you face triggers. Consider some times recently when you have felt angry, sad, or afraid. As you read about these common avoidance patterns, think about whether you are using some of these avoidance patterns to deal with those negative emotions.

Everyone uses avoidant behaviors sometimes--these behaviors become a problem when they are used too much, stop you from solving problems, or make you feel worse in the long-run."
Lesson #9: Avoidance,7,Examples of Avoidance Patterns,"Procrastination
Doing ""productive"" activities instead of higher-priority tasks (e.g., cleaning the apartment instead of preparing for tomorrow's work presentation)

Sleep and Inactivity
Giving up positive activities outside your home, allowing distraction to keep you from doing things you can and should do

Complaining

Getting temporary relief by ""venting"" to other people at the expense of more productive, enjoyable, or two-way conversation"
Lesson #9: Avoidance,8,Examples of Avoidance Patterns,"Rumination
""Re-playing"" a real or imaginary event over and over, over-analyzing situations that are out of your control, thinking about doing something you need to do (instead of doing it), ""beating yourself up"" over past mistakes

Doing things to ""space out"" or numb your emotions
Watching television or surfing websites, using drugs or alcohol, smoking, daydreaming, overeating

Withdrawing from interactions with other people
Avoiding social situations or new people, always staying silent when someone does something that upsets you, avoiding people you believe you have disappointed, avoiding confrontation by saying ""yes"" to things you don't want to do"
Lesson #9: Avoidance,9,Wrapping Up,"Summary: Awareness is the first step toward changing any behavior. After this lesson, try looking over your daily activity record for the past week. Do you notice any activities that could have been avoidance? During the next week, please use the Activity Tracker tool to keep a record when you notice any of the following elements:
 (T)rigger – A situation, time period, person, thought, or
physical sensation that triggers discomfort.
 (R)esponse - The specific emotions you feel when the
trigger happens. Anger, fear, and sadness are some of the
first emotions to consider. Identifying your emotions will help
you better understand why the trigger bothered you.
 (A)voidance (P)attern - Something you do to avoid the trigger and response. You can recognize these behaviors because they bring some short-term emotional relief, but they do not help you in the long run.

Keeping a record of your TRAPs will help to break them down into more manageable pieces."
Lesson #9: Avoidance,10,Wrapping Up,Moving Forward: Knowledge is power! Understanding your avoidance is the first step toward taking control of your behavior and keeping situations and temporary emotions from controlling you.  Try to make note in your Activity Tracker of any behaviors you think might be avoidance patterns.  These would be great to share with your group in order to get feedback.
Summary #9: Avoidance,1,,"People often use behaviors to avoid and escape from difficult situations and feelings. These behaviors relieve uncomfortable feelings in the short-term, but in the long-term they do not help.  Triggers of unpleasant emotions come in many different forms - historical triggers, external triggers and internal triggers.  Triggers can lead to avoidance patterns which include procrastination, sleep/inactivity, venting to others, rumination or replaying negatives over and over again in your head, “spacing out” by mindlessly watching tv or surfing the web, and withdrawing from people.  Although these behaviors may improve how you feel in the moment, its important to identify when you’re avoiding and find more appropriate responses that will give you a long-term boost to your mood."
Lesson #10: Action Experiments,1,,"“Seeing is believing” and sometimes the best way to evaluate one’s thoughts are to test them out. This helps gather evidence to evaluate thoughts when you don’t have other information. Action experiments are an important way to try new things.

In this lesson you’ll learn how to:
-    Combine ideas related to the Activity and Thought Trackers
-    Learn a new strategy for testing your alternative thoughts"
Lesson #10: Action Experiments,2,Believing Your New Alternative Thoughts,"Sometimes new ways of thinking don't result in new, more positive behaviors. This happens when you don’t believe a new alternative thought very strongly. You might come up with an alternative thought that makes sense intellectually, but you don’t believe it emotionally. One reason this can happen is that you simply don’t have enough experience (or data) to support your new alternative thought. For example, if you are feeling stressed and a friend invites you to a party, you might have the following automatic thought: ""If I go to the party I will have a terrible time"". You could challenge it with the following alternative thought: ""If I go to the party, I will enjoy myself and I will probably be glad that I went."" This thought might make logical sense, but you might not believe it very strongly, maybe because you haven't been to a party in a long time, or because you just aren't feeling motivated to go. So, there is no way to know whether or not this new thought is valid unless you go to the party and test it out!"
Lesson #10: Action Experiments,3,Testing Out Your Alternative Thoughts,"Automatic thoughts are like personal theories. Just like scientists need data to test their theories, people need data (new experiences) to test their automatic thoughts. The more data or supporting experiences you have for a thought, the more you will believe it. Often we believe negative automatic thoughts, even when they are inaccurate, because we have avoided doing things so often we don’t have any evidence to the contrary. This lesson will introduce a new strategy - the action experiment - that will help you gather additional data.  Even if you already believe your new alternative thought, an action experiment can still be beneficial. You can get even greater benefit from an alternative thought if you practice behaving in ways that are consistent with the new way of thinking. Action experiments will help you plan activities that are consistent with your new thoughts."
Lesson #10: Action Experiments,4,Action Experiment,"An Action Experiment is a specific plan that will test out a new thought or belief. You will schedule an activity that will generate more data or information about the alternative thought you created in the Thought Tracker. Just as the helpful questions were useful in figuring out and testing your automatic thoughts, an Action Experiment will test out your alternative thoughts. You are simply collecting more data to determine whether or not your new alternative thought is accurate. Most people are surprised to find that there is more evidence for their new, helpful thoughts than they initially expected!"
Lesson #10: Action Experiments,5,How to Create an Action Experiment,"Step 1) Plan an activity to test your Alternative Thought
Step 2) Re-evaluate your Alternative Thought after the activity
Step 3) Prepare for possible negative outcomes or success of the experiment"
Lesson #10: Action Experiments,6,Step 1) Plan an activity to test your Alternative Thought,"The first step in developing an action experiment is to plan an activity that will provide additional data about your alternative thought. You might want to ask yourself the following questions:
-    How can I find out if this alternative thought is accurate?
-    How can I put this alternative thought to the test to see if it is true?
-    How would I behave differently if I believed this alternative thought were 100% true?
 
Decide when and where you will test out your thought. Try to be as specific as possible. Remember - if you have a specific plan, you are more likely to follow through!"
Lesson #10: Action Experiments,7,Step 2) Re-evaluate your Alternative Thought after the activity,"After you complete the activity, take another look at your alternative thought and describe the associated emotion. Did the action experiment provide information that confirmed or disconfirmed your thought? Remember to try not to think in absolutes (watch out for Black and White Thinking!). Perhaps the activity provided partial evidence for or against the thought.
 
For example, if you tested out the automatic thought ""I will have a terrible time at the party"" by going to a party, then you might have collected the following data: you felt uncomfortable on a few occasions, you enjoyed spending time with your friend, you engaged in a few interesting conversations, you enjoyed the food, and your mood was better after going to the party. So, you might conclude that your alternative thought (""If I go to the party I will enjoy myself and I will probably be glad that I went."") is 80% true. You didn't enjoy yourself the entire time, but overall you had a good time and you were glad that you went."
Lesson #10: Action Experiments,8,Step 3) Prepare for possible negative outcomes of the experiment,"It is important to prepare yourself for the possibility that the action experiment might not support your new, more helpful thought. Even though this is a risk, remember there are many potential benefits, such as:
-    the opportunity to collect more information
-    practice responding to situations differently
-    the possibility of believing your new alternative thought more deeply.
-    Being more active"
Lesson #10: Action Experiments,9,Wrapping Up,"Summary: Just because you came up with an alternative thought, doesn’t always mean it will “feel right.” Sometimes you have to “test” these thoughts out by creating an “Action Experiment.” An action experiment is an activity you plan to help gather information about an alternative thought you created or gain additional evidence against a negative automatic thought you had.  

Moving forward: The action experiment combines ideas learned from the Activity and Thought Trackers. It may not be applicable in all cases – but give it a try and see if it helps. Before you move on to the next lesson, make sure to complete one action experiment before moving on. You can use the Activity Tracker to schedule the activity. You can even tag the activity as an “Action Experiment” if that would be helpful to keep track of it."
Summary #10: Action Experiments,1,,"Action Experiments help you gather data that tests the alternative thoughts you generate. We often need supporting data, through repeated experiences, to believe our new alternative thoughts. Action experiments allow you to get this data if you need it. Even if you already believe your alternative thought, practicing a behavior that is consistent with an alternative thought can have positive benefits in and of themselves. Just follow the three steps to creating an action experiment: planning an activity, re-evaluating your alternative thought after the activity, and preparing for possible negative outcomes. Remember, testing an alternative thought requires taking a risk, but even if your thought is only partially supported, there are still a lot of benefits that come from action experiments. "
Lesson #11: Coping,1,,"“Coping” refers to the things you do to manage stressful situations. Some coping strategies are healthy because they help you feel better in the long-term. Other coping strategies are unhealthy because they may lead to more stress. Learning effective, healthy coping strategies is an important way to reduce your depression and shape the life you want.

This lesson will teach you about:
-    What coping is and how it works
-    How to choose an effective coping strategy for specific types of problems
-    A new coping strategy: acceptance
 "
Lesson #11: Coping,2,What coping is and how it works,"The term “coping” has many different meanings. We define coping as an individual’s efforts to manage stressful situations. People can cope in healthy and unhealthy ways. This lesson will help you identify healthy coping strategies for managing stressful circumstances.

Your Coping Toolbox
Although this is the first time we have used the word “coping,” you have actually been developing coping skills throughout the entire ThinkFeelDo program. In fact, all of the CBT strategies you have been learning are types of healthy coping strategies. Essentially, ThinkFeelDo has helped you to build a “coping toolbox.” This coping toolbox contains some core skills (e.g., scheduling positive activities, identifying and challenging unhelpful thoughts, identifying patterns in your mood and behaviors, tapping into signature strengths) as well as skills that are specific to your needs (e.g., assertive communication or relaxation training). By having a toolbox full of several different strategies, you are better prepared to deal with various types of stressors. This lesson will provide some suggestions to help you choose the most effective coping strategy for a given situation. We will also introduce a new coping strategy, acceptance, at the end of the lesson.

 "
Lesson #11: Coping,3,How to choose an effective coping strategy for specific types of problems,"Step 1: Defining the problem: controllable vs. uncontrollable
The first step in choosing an effective coping strategy is to break down the problem into smaller parts. As you break down the problem, identify which aspects of the situation are under your control and which aspects are not. Usually stressors have both uncontrollable and controllable aspects. Even problems that initially seem very large and uncontrollable often have some aspects of the situation that are controllable. Breaking down the situation in this way will help you to determine the best coping strategies to use for the different aspects of the problem. For example, if you have an argument with a co-worker, you can control how you behave towards your co-worker afterwards, what you do to reduce your anger, and how you behave with your other co-workers. However, there are other aspects of this situation that are not under your control, such as the fact that you had the argument, and the reactions, thoughts, or feelings of your co-worker."
Lesson #11: Coping,4,Defining the problem: controllable vs. uncontrollable,"Now, let's give you some examples of the controllable and uncontrollable aspects of the following situations:

Situation #1:Your car breaks down on the way to work

Controllable (things that you can exert authority over):
-    Call a tow truck
-    Keeping calm during this inconvenience
-    Call the office to let them know you will be late

Uncontrollable (things that are completely beyond your reach):
-    The fact that you will be late to work
-    Length of time it takes for tow truck to arrive
-    Extent of damage to your car"
